[2026-07-22T08:57:37.371Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/802b1fc6-3ad1-45bd-86fc-4095b08fa0f5_1101/website.components.spacer.visitor.js → 200 (?ms, -710B)
[2026-07-22T08:57:37.371Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/6644.js → 200 (?ms, -760B)
[2026-07-22T08:57:37.371Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/8018.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.371Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/website.components.imageFluid.visitor.js → 200 (?ms, -759B)
[2026-07-22T08:57:37.371Z] GET https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.imageFluid/f316495a-e9d9-4f0b-9394-2daaba833a37_765/image-effect-film-grain.js → 200 (?ms, -758B)
[2026-07-22T08:57:37.371Z] GET https://static1.squarespace.com/static/versioned-site-css/5f3874da9e73700975a00b12/426/5c5a519771c10ba3470d8101/5f3874da9e73700975a00b34/1810/site.css?nocustom=true → 200 (1ms, -558B)
[2026-07-22T08:57:37.371Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1784658820989-T86EF34M4QVPBBCSSFUN/static.css → 200 (6ms, -577B)
[2026-07-22T08:57:37.371Z] GET https://static1.squarespace.com/static/custom-css/5f3874da9e73700975a00b12/5f3874da9e73700975a00b34/0/custom.css → 200 (6ms, -558B)
[2026-07-22T08:57:37.371Z] GET https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js → 200 (?ms, -966B)
[2026-07-22T08:57:37.371Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/1598311923613-QLM3MJNU1Q30HCAKGVW0/EHF+Logo+Color+Dark.png?format=1500w → 200 (?ms, -613B)
[2026-07-22T08:57:37.371Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/5d75a977-434f-4dc6-b990-59e19761ec7a/Copy+of+Pukaki+banner+mock+up+%289%29.png?format=1500w → 200 (?ms, -613B)
[2026-07-22T08:57:37.371Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.3ac4db8e38074e1383b5ecad2061af25.js → 200 (?ms, -577B)
[2026-07-22T08:57:37.371Z] GET https://cdn.jsdelivr.net/npm/jquery-validation@1.19.0/dist/jquery.validate.min.js → 200 (?ms, -1145B)
[2026-07-22T08:57:37.390Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/1850c6bb-f5f1-41d5-902c-c0ed4fb1d221/7.png?format=1000w → 200 (?ms, -613B)
